试验_主体,主体是谁？
试验_装备,装备是什么？
试验_时间,事件是什么时候发生的？
试验_地点,事件发生的地点是哪里？
演习_主体,主体是谁？
演习_时间,事件是什么时候发生的？
演习_区域,区域是在哪里？
演习_演习内容,演习内容是什么？
部署_主体,主体是谁？
部署_军事力量,军事力量是什么？
部署_时间,事件是什么时候发生的？
部署_地点,事件发生的地点是在哪里？
支援_主体,主体是谁？
支援_客体,客体是谁？
支援_物资,物资是什么？
支援_时间,事件是什么的时候发生的？
意外事故_主体,主体是谁？
意外事故_时间,事件是什么时候发生的？
意外事故_地点,事件发生在哪里？
意外事故_事故后果,事故后果是什么？
展示_主体,主体是谁？
展示_装备,装备是什么？
展示_时间,什么时候发生的？
展示_地点,发生的地点是在哪里？
冲突_主体,主体是谁？
冲突_客体,客体是谁？
冲突_时间,什么时候发生的？
冲突_地点,发生的地点在哪里？
伤亡_主体,主体是谁？
伤亡_数量,数量是多少？
伤亡_时间,什么时候发生的？
伤亡_地点,发生在哪里？
